City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Trofors,NO,2021-12-21 17:15:54,overcast clouds,65.5333,13.4063,31.35,91,95,4.85
229,Manokwari,ID,2021-12-21 17:15:55,heavy intensity rain,-0.8667,134.0833,78.67,83,100,5.06
230,Acolla,PE,2021-12-21 17:16:55,overcast clouds,-11.7319,-75.5463,65.01,39,96,2.66
231,Kalmunai,LK,2021-12-21 17:16:55,scattered clouds,7.4167,81.8167,77.29,83,45,9.8
232,Cache Creek,CA,2021-12-21 17:16:56,overcast clouds,50.8101,-121.3246,5.45,93,96,1.81
233,Coihueco,CL,2021-12-21 17:16:56,clear sky,-36.6167,-71.8333,83.14,17,0,14.97
234,Garowe,SO,2021-12-21 17:16:56,overcast clouds,8.4054,48.4845,78.37,45,100,18.41
235,Nalut,LY,2021-12-21 17:16:57,clear sky,30.3333,10.85,53.92,34,0,5.91
236,Ancud,CL,2021-12-21 17:16:57,clear sky,-41.8697,-73.8203,72.23,62,1,6.15
237,Kerema,PG,2021-12-21 17:16:57,overcast clouds,-7.9631,145.7785,77.74,84,90,3.24
238,Pacific Grove,US,2021-12-21 17:15:36,clear sky,36.6177,-121.9166,55.63,86,1,1.99
239,Wilmington,US,2021-12-21 17:16:42,light rain,34.2257,-77.9447,48.85,82,90,9.22
240,Cherkasskoye,RU,2021-12-21 17:16:58,few clouds,52.4333,47.2167,0.86,98,16,4.72
241,Aloleng,PH,2021-12-21 17:16:58,broken clouds,16.1307,119.7824,79.05,85,52,8.77
242,Bemidji,US,2021-12-21 17:16:59,light snow,47.4736,-94.8803,12.15,83,1,10.36
243,Kukuna,SL,2021-12-21 17:16:59,broken clouds,9.4,-12.6667,94.95,16,53,2.62
244,Hami,CN,2021-12-21 17:16:59,few clouds,42.8,93.45,25.27,50,21,6.73
245,Hobyo,SO,2021-12-21 17:17:00,overcast clouds,5.3505,48.5268,78.03,74,85,18.45
246,Puerto Del Rosario,ES,2021-12-21 17:17:00,few clouds,28.5004,-13.8627,74.95,57,20,9.22
247,Santa Lucia,ES,2021-12-21 17:17:01,few clouds,27.9117,-15.5407,67.32,60,20,10.36
248,Kikwit,CD,2021-12-21 17:17:01,light rain,-5.041,18.8162,76.53,86,98,0.78
249,Takab,IR,2021-12-21 17:17:01,scattered clouds,36.4009,47.1133,28.4,85,36,11.18
250,Manggar,ID,2021-12-21 17:17:02,overcast clouds,-2.8833,108.2667,78.4,83,100,2.82
251,Kenai,US,2021-12-21 17:13:09,few clouds,60.5544,-151.2583,14.02,89,20,3.44
252,Neiafu,TO,2021-12-21 17:17:02,light rain,-18.65,-173.9833,79.48,83,40,0.0
253,Phalodi,IN,2021-12-21 17:17:03,clear sky,27.1333,72.3667,60.71,13,1,2.8
254,Santa Rita,BR,2021-12-21 17:17:03,broken clouds,-7.1139,-34.9781,86.67,66,75,11.5
255,San Policarpo,PH,2021-12-21 17:17:04,scattered clouds,12.1791,125.5072,79.56,81,49,5.32
256,Tura,IN,2021-12-21 17:08:50,overcast clouds,25.5198,90.2201,59.81,63,91,3.4
257,Kaitangata,NZ,2021-12-21 17:17:04,clear sky,-46.2817,169.8464,55.92,60,4,7.67
